Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MBG.DE,MBG.DE,MBG.DE,MBG.DE,MBG.DE,MBG.DE
Date,,,,,,
2020-01-02,31.399423599243164,41.56657791137695,41.84521484375,40.97188186645508,41.09248352050781,2973654
2020-01-03,30.830806732177734,40.813846588134766,41.36280059814453,40.30232238769531,41.296260833740234,4014262
2020-01-06,30.664306640625,40.59343338012695,40.59343338012695,39.70346450805664,40.2025146484375,3441396
2020-01-07,30.90934944152832,40.917816162109375,41.208927154541016,40.68076705932617,40.79721450805664,2816618
2020-01-08,31.08212661743164,41.14654541015625,41.16733932495117,40.48946762084961,40.58927536010742,2659070
2020-01-09,31.21407127380371,41.32121276855469,41.712135314941406,41.2921028137207,41.50419616699219,3098476
2020-01-10,31.05699920654297,41.113277435302734,41.508358001708984,41.05089569091797,41.46677017211914,3130777
2020-01-13,30.720853805541992,40.66829299926758,41.25467300415039,40.356388092041016,41.25467300415039,3089806
2020-01-14,30.44440269470215,40.30232238769531,40.89702224731445,40.1484489440918,40.643341064453125,4170529
2020-01-15,29.681018829345703,39.291751861572266,40.306480407714844,39.21273422241211,40.30232238769531,5857810
2020-01-16,29.451684951782227,38.988162994384766,39.46641540527344,38.72616195678711,39.333335876464844,4517609
2020-01-17,29.335451126098633,38.83428955078125,39.51632308959961,38.8093376159668,39.366607666015625,4582967
2020-01-20,29.256908416748047,38.73031997680664,38.91330337524414,38.439208984375,38.680416107177734,2802010
2020-01-21,29.153242111206055,38.593082427978516,38.90498733520508,38.21879577636719,38.49327087402344,3320743
2020-01-22,28.53436279296875,37.77381134033203,39.59949493408203,37.55755615234375,38.72200393676758,8999759
2020-01-23,27.915485382080078,36.95454025268555,37.7654914855957,36.78818893432617,37.43279266357422,5682839
2020-01-24,27.607614517211914,36.54698181152344,37.18326950073242,36.38895034790039,37.06266784667969,5996104
2020-01-27,26.749982833862305,35.41164779663086,36.1227912902832,35.257774353027344,36.039615631103516,6571183
2020-01-28,27.196081161499023,36.00218963623047,36.16437911987305,35.033203125,35.50729751586914,6708750
2020-01-29,27.27775764465332,36.11031723022461,36.372314453125,35.82752227783203,36.139427185058594,3965600
2020-01-30,26.88506507873535,35.59047317504883,36.08536148071289,35.469871520996094,35.74018859863281,3977028
2020-01-31,26.26618766784668,34.771202087402344,35.73187255859375,34.65891647338867,35.6362190246582,6017511
2020-02-03,26.149953842163086,34.61732864379883,34.92091751098633,34.44681930541992,34.82942581176758,4874196
2020-02-04,26.60861587524414,35.22450637817383,35.399173736572266,34.6131706237793,34.808631896972656,4197249
2020-02-05,27.679868698120117,36.642635345458984,36.642635345458984,35.03736114501953,35.266090393066406,7289595
2020-02-06,27.692434310913086,36.65926742553711,37.328826904296875,36.60520553588867,37.0460319519043,4471882
2020-02-07,26.944759368896484,35.669490814208984,36.49707794189453,35.532249450683594,36.49707794189453,5351345
2020-02-10,27.045286178588867,35.80257034301758,36.235076904296875,35.49482345581055,35.7568244934082,4438165
2020-02-11,26.787681579589844,35.461551666259766,37.23317337036133,35.2702522277832,37.058509826660156,9279666
2020-02-12,27.642169952392578,36.59272766113281,36.71333312988281,35.43244171142578,35.44491958618164,5981323
2020-02-13,27.170944213867188,35.96891784667969,36.372314453125,35.61126708984375,36.01466369628906,5057287
2020-02-14,27.057849884033203,35.8192024230957,36.6093635559082,35.79425048828125,35.93149185180664,3901916
2020-02-17,27.441112518310547,36.326568603515625,36.78818893432617,36.17269515991211,36.34736251831055,3431491
2020-02-18,26.684009552001953,35.32431411743164,35.943965911865234,35.32431411743164,35.84831619262695,4942339
2020-02-19,26.872499465942383,35.57383728027344,35.640380859375,35.004093170166016,35.50313949584961,3754859
2020-02-20,27.485097885131836,36.38479232788086,36.85472869873047,35.182918548583984,35.490665435791016,7037589
2020-02-21,26.762550354003906,35.42828369140625,36.538665771484375,35.02072525024414,36.10615539550781,7961935
2020-02-24,24.959320068359375,33.041168212890625,34.46345520019531,32.87481689453125,34.37196350097656,12125682
2020-02-25,24.81795310974121,32.85402297973633,33.44872283935547,32.4131965637207,33.36970901489258,8358050
2020-02-26,25.24833869934082,33.423770904541016,33.5069465637207,31.835134506225586,32.646087646484375,9711085
2020-02-27,24.40327262878418,32.30507278442383,32.949676513671875,31.905832290649414,32.61281967163086,9454676
2020-02-28,23.586477279663086,31.223798751831055,31.456689834594727,30.541767120361328,30.911893844604492,14626473
2020-03-02,23.328876495361328,30.882783889770508,31.785228729248047,30.358781814575195,31.606403350830078,9081850
2020-03-03,23.039857864379883,30.500179290771484,31.739482879638672,30.304719924926758,31.240434646606445,10495161
2020-03-04,23.643024444580078,31.298656463623047,31.35687828063965,30.300559997558594,30.63741683959961,7911854
2020-03-05,22.741413116455078,30.105098724365234,31.423419952392578,30.00528907775879,31.37351417541504,7427867
2020-03-06,21.90262794494629,28.99471664428711,29.660114288330078,28.3459529876709,29.327415466308594,12228943
2020-03-09,18.959030151367188,25.097978591918945,26.79474449157715,24.99401092529297,26.782268524169922,18649227
2020-03-10,19.27318000793457,25.513853073120117,27.327062606811523,25.08550262451172,25.713472366333008,14755257
2020-03-11,19.430255889892578,25.721790313720703,26.90703010559082,25.351661682128906,26.008743286132812,10554718
2020-03-12,15.767251968383789,20.87270164489746,24.65715217590332,20.8643856048584,24.43674087524414,24436875
2020-03-13,16.115962982177734,21.334321975708008,24.212167739868164,20.78120994567871,22.082895278930664,24212379
2020-03-16,14.4006929397583,19.063650131225586,20.248891830444336,18.444000244140625,19.961938858032227,17741977
2020-03-17,15.29916763305664,20.253049850463867,20.71051025390625,17.882570266723633,20.00352668762207,16269640
2020-03-18,13.872920989990234,18.3649845123291,19.849653244018555,17.820188522338867,19.28406524658203,12449752
2020-03-19,13.722127914428711,18.165363311767578,19.225841522216797,17.47917366027832,18.298444747924805,13842283
2020-03-20,14.246760368347168,18.859872817993164,19.903715133666992,18.839080810546875,19.130191802978516,20035159
2020-03-23,14.454099655151367,19.134349822998047,19.541906356811523,17.85761833190918,18.0613956451416,14638267
2020-03-24,18.396697998046875,24.353565216064453,24.353565216064453,20.38197135925293,20.54416275024414,16260714
2020-03-25,18.701427459716797,24.7569637298584,26.532743453979492,23.55508804321289,25.326709747314453,18199555
2020-03-26,18.58833122253418,24.607248306274414,24.607248306274414,23.01445198059082,24.045818328857422,13358554
2020-03-27,17.08983039855957,22.623531341552734,24.23712158203125,22.436386108398438,23.89610481262207,10618328
2020-03-30,17.09296989440918,22.627689361572266,23.10178565979004,21.850004196166992,22.72749900817871,7997146
2020-03-31,17.2908878326416,22.889690399169922,23.93353271484375,22.178546905517578,22.90632438659668,8429481
2020-04-01,16.037424087524414,21.23035430908203,22.13279914855957,21.23035430908203,22.04130744934082,7825365
2020-04-02,15.817516326904297,20.939241409301758,22.116165161132812,20.223939895629883,21.417497634887695,9921058
2020-04-03,15.405978202819824,20.394447326660156,21.08479881286621,20.211463928222656,20.918447494506836,6968859
2020-04-06,17.18093490600586,22.7441349029541,22.7441349029541,21.41333770751953,21.583845138549805,8107113
2020-04-07,17.680435180664062,23.405372619628906,24.76527976989746,22.444704055786133,24.11235809326172,10192549
2020-04-08,17.671010971069336,23.39289665222168,23.804611206054688,22.573625564575195,23.24734115600586,6569412
2020-04-09,18.74854850769043,24.81934356689453,24.835979461669922,23.459436416625977,24.120676040649414,10697452
2020-04-14,18.472095489501953,24.4533748626709,25.721790313720703,24.424264907836914,25.655250549316406,6978347
2020-04-15,17.353715896606445,22.972864151000977,24.56566047668457,22.898006439208984,24.56566047668457,7779054
2020-04-16,17.3976993560791,23.03108787536621,23.9668025970459,22.70670509338379,23.525976181030273,6308863
2020-04-17,18.245906829833984,24.153945922851562,24.644676208496094,23.546770095825195,23.821247100830078,10118608
2020-04-20,18.01657485961914,23.850357055664062,24.607248306274414,23.039403915405273,24.573978424072266,7918320
2020-04-21,17.23434066772461,22.81483268737793,23.376262664794922,22.644323348999023,23.372102737426758,7198188
2020-04-22,17.498226165771484,23.164165496826172,23.21407127380371,22.769086837768555,23.110103607177734,4837077
2020-04-23,18.054275512695312,23.9002628326416,24.16642189025879,23.056039810180664,23.35546875,6004027
2020-04-24,17.316020965576172,22.92296028137207,23.9002628326416,22.860578536987305,23.4136905670166,6514340
2020-04-27,18.421831130981445,24.3868350982666,24.3868350982666,23.563404083251953,23.704801559448242,5891797
2020-04-28,19.10668182373047,25.293439865112305,25.767536163330078,24.36188316345215,24.47416877746582,8683937
2020-04-29,20.382137298583984,26.981887817382812,27.006839752197266,25.035598754882812,25.605344772338867,8450763
2020-04-30,19.81352424621582,26.229156494140625,27.813634872436523,25.900615692138672,27.227252960205078,10580592
2020-05-04,18.622886657714844,24.65299415588379,25.210264205932617,24.04166030883789,25.035598754882812,9100726
2020-05-05,19.317163467407227,25.57207489013672,26.000425338745117,25.135408401489258,25.343345642089844,7872577
2020-05-06,18.789390563964844,24.8734073638916,25.621980667114258,24.8734073638916,25.57207489013672,5996377
2020-05-07,18.908767700195312,25.03144073486328,25.505535125732422,24.90251922607422,25.039756774902344,5548954
2020-05-08,19.888917922973633,26.32896614074707,26.32896614074707,25.081344604492188,25.351661682128906,5645279
2020-05-11,19.452247619628906,25.750900268554688,26.690776824951172,25.547122955322266,26.424617767333984,5237633
2020-05-12,19.222917556762695,25.44731330871582,26.037853240966797,25.44315528869629,25.472265243530273,3918265
2020-05-13,17.982019424438477,23.804611206054688,25.081344604492188,23.79213523864746,25.035598754882812,7068142
2020-05-14,17.350576400756836,22.968706130981445,23.596675872802734,21.870798110961914,23.438642501831055,11696290
2020-05-15,17.595613479614258,23.293087005615234,23.908580780029297,22.8106746673584,23.330516815185547,7111325
2020-05-18,19.59047508239746,25.93388557434082,25.979631423950195,23.796295166015625,23.804611206054688,8870910
2020-05-19,19.480520248413086,25.788330078125,26.51194953918457,25.081344604492188,26.283218383789062,8388974
2020-05-20,20.111967086791992,26.624235153198242,26.807220458984375,25.018962860107422,25.804964065551758,7726392
2020-05-21,19.756975173950195,26.154298782348633,26.832172393798828,25.975473403930664,26.31648826599121,5300838
2020-05-22,19.691003799438477,26.066965103149414,26.844648361206055,25.322551727294922,25.476423263549805,6863960
2020-05-25,20.027143478393555,26.51194953918457,26.51194953918457,25.80912208557129,26.449569702148438,3677630
2020-05-26,20.520362854003906,27.164871215820312,27.239728927612305,26.59928321838379,26.865442276000977,5861078
2020-05-27,22.336158752441406,29.568622589111328,29.905479431152344,27.231412887573242,27.322904586791992,14275247
2020-05-28,22.022005081176758,29.152748107910156,30.304719924926758,28.67449378967285,30.192432403564453,8377335
2020-05-29,20.972740173339844,27.763729095458984,28.686969757080078,27.763729095458984,28.499826431274414,15373255
2020-06-02,22.593759536743164,29.909637451171875,30.591670989990234,28.99887466430664,29.111160278320312,12494951
2020-06-03,23.834657669067383,31.552339553833008,31.598085403442383,30.063512802124023,30.533449172973633,9798008
2020-06-04,23.247196197509766,30.774656295776367,31.19053077697754,29.44801902770996,29.984495162963867,9932286
2020-06-05,25.022151947021484,33.12434387207031,33.18256378173828,31.165576934814453,31.240434646606445,12036934
2020-06-08,25.198076248168945,33.35723114013672,34.50920104980469,32.40488052368164,32.52964401245117,9245022
2020-06-09,24.481809616088867,32.40903854370117,33.515262603759766,31.344402313232422,33.311485290527344,9873436
2020-06-10,24.37813949584961,32.27180099487305,33.30316925048828,31.514911651611328,32.920562744140625,7435652
2020-06-11,22.188507080078125,29.37316131591797,31.298656463623047,29.37316131591797,30.69148063659668,11823022
2020-06-12,22.631460189819336,29.959543228149414,31.119831085205078,29.14443016052246,29.37316131591797,10247112
2020-06-15,22.414695739746094,29.672590255737305,29.905479431152344,28.524778366088867,28.840843200683594,7047660
2020-06-16,23.253477096557617,30.78297233581543,31.552339553833008,30.051036834716797,31.207164764404297,9042642
2020-06-17,23.25033950805664,30.7788143157959,31.406784057617188,30.142528533935547,30.849512100219727,8553003
2020-06-18,23.077552795410156,30.55008316040039,31.24875259399414,30.105098724365234,30.774656295776367,7705463
2020-06-19,23.096403121948242,30.575035095214844,31.161418914794922,30.49186134338379,31.003385543823242,12050712
2020-06-22,23.064987182617188,30.533449172973633,30.7788143157959,29.734970092773438,30.1092586517334,5155905
2020-06-23,23.300601959228516,30.845354080200195,31.51906967163086,30.238178253173828,30.770496368408203,6796963
2020-06-24,21.893203735351562,28.982240676879883,30.87030792236328,28.878271102905273,30.774656295776367,8168944
2020-06-25,22.515222549438477,29.8056697845459,30.11757469177246,28.641223907470703,28.90322494506836,6455162
2020-06-26,21.99687385559082,29.119478225708008,30.462751388549805,28.95728874206543,30.379575729370117,4823917
2020-06-29,22.562347412109375,29.868051528930664,30.209068298339844,29.065414428710938,29.065414428710938,6242603
2020-06-30,22.709997177124023,30.063512802124023,30.317195892333984,29.423065185546875,30.192432403564453,4908588
2020-07-01,22.405269622802734,29.660114288330078,30.084304809570312,29.127796173095703,30.084304809570312,4648924
2020-07-02,23.350868225097656,30.911893844604492,31.35687828063965,29.84309959411621,30.00944709777832,6432417
2020-07-03,23.036712646484375,30.49601936340332,31.3818302154541,30.333829879760742,31.19053077697754,3418845
2020-07-06,23.75926399230957,31.452529907226562,31.939102172851562,31.065767288208008,31.489959716796875,4515714
2020-07-07,23.646169662475586,31.302814483642578,31.872562408447266,30.90357780456543,31.298656463623047,4076492
2020-07-08,23.366573333740234,30.932687759399414,31.697895050048828,30.828718185424805,31.19053077697754,5718621
2020-07-09,23.3937931060791,30.067670822143555,31.044973373413086,30.00528907775879,30.828718185424805,4013637
2020-07-10,23.73353385925293,30.504337310791016,30.63741683959961,29.3773193359375,29.418907165527344,4842496
2020-07-13,24.131521224975586,31.0158634185791,31.3818302154541,30.54592514038086,31.148942947387695,3527896
2020-07-14,23.940614700317383,30.770496368408203,30.87030792236328,30.358781814575195,30.47522735595703,3479791
2020-07-15,24.39037322998047,31.348562240600586,31.606403350830078,30.791290283203125,31.007545471191406,4541513
2020-07-16,24.377429962158203,31.331926345825195,31.647991180419922,30.90773582458496,31.252910614013672,3967443
2020-07-17,25.45490074157715,32.7167854309082,33.17840576171875,32.34666061401367,32.60449981689453,8121118
2020-07-20,25.16693115234375,32.34666061401367,32.60865783691406,31.847610473632812,32.60449981689453,4038023
2020-07-21,25.542266845703125,32.829071044921875,33.36970901489258,32.57954788208008,32.862342834472656,5415184
2020-07-22,25.341657638549805,32.571231842041016,32.920562744140625,32.171993255615234,32.733421325683594,4148213
2020-07-23,26.422367095947266,33.96025085449219,34.75040817260742,33.2698974609375,33.2698974609375,8814796
2020-07-24,25.852888107299805,33.228309631347656,33.802215576171875,33.11186599731445,33.27821731567383,4339681
2020-07-27,25.930545806884766,33.328121185302734,33.69824981689453,33.116024017333984,33.46951675415039,3089948
2020-07-28,25.77199935913086,33.12434387207031,33.527740478515625,32.72926330566406,33.34475326538086,4205789
2020-07-29,25.81729507446289,33.18256378173828,33.30732727050781,32.662723541259766,33.240787506103516,3676900
2020-07-30,24.979263305664062,32.10545349121094,33.207515716552734,31.51906967163086,33.17840576171875,6798579
2020-07-31,24.20270538330078,31.10735511779785,32.40072250366211,31.10735511779785,32.147037506103516,5056579
2020-08-03,25.27694320678711,32.48805618286133,32.67519760131836,31.148942947387695,31.207164764404297,5391213
2020-08-04,25.985549926757812,33.39881896972656,33.59428024291992,32.87065887451172,33.10354995727539,4250561
2020-08-05,26.409423828125,33.9436149597168,34.288787841796875,33.49031066894531,33.64834213256836,4305103
2020-08-06,26.27999496459961,33.77726364135742,34.317901611328125,33.30316925048828,33.85211944580078,3829846
2020-08-07,26.27352523803711,33.76894760131836,33.814693450927734,33.12434387207031,33.714881896972656,2738346
2020-08-10,26.45148468017578,33.997676849365234,34.213932037353516,33.46535873413086,34.03510665893555,2378791
2020-08-11,27.370410919189453,35.17876052856445,35.43244171142578,34.322059631347656,34.322059631347656,6751343
2020-08-12,27.580730438232422,35.44907760620117,36.09783935546875,34.99577331542969,35.0997428894043,4489728
2020-08-13,27.38011932373047,35.19123458862305,35.82752227783203,35.13717269897461,35.30767822265625,3202723
2020-08-14,27.350996017456055,35.153804779052734,35.25361633300781,34.55078887939453,35.16212463378906,3206637
2020-08-17,27.396297454833984,35.21202850341797,35.39085388183594,34.696346282958984,35.01656723022461,2023020
2020-08-18,27.31864356994629,35.112220764160156,35.72355270385742,34.76704406738281,34.93755340576172,3879006
2020-08-19,27.77486801147461,35.69860076904297,35.69860076904297,34.92091751098633,35.091426849365234,3161845
2020-08-20,27.156858444213867,34.90428161621094,35.278568267822266,34.6131706237793,34.99993133544922,4027348
2020-08-21,26.619739532470703,34.213932037353516,35.30767822265625,33.723201751708984,35.045677185058594,5343143
2020-08-24,27.69074058532715,35.59047317504883,35.63206100463867,34.56742477416992,34.56742477416992,4014473
2020-08-25,27.393062591552734,35.20787048339844,35.91485595703125,35.12053680419922,35.72355270385742,3605914
2020-08-26,27.846054077148438,35.79009246826172,35.80257034301758,34.99993133544922,35.20787048339844,2816466
2020-08-27,27.82663917541504,35.765140533447266,36.418060302734375,35.70691680908203,35.86494827270508,3866228
2020-08-28,27.748985290527344,35.66533279418945,36.15190124511719,35.46571350097656,36.04377746582031,3527202
